Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,Category,PR_Category,,,
84,cloudpickle-2.2.1,44,0.000731,0.02472,0.729166061,M,T,,,
85,gym-notices-0.0.8,4,0.00041,0.00439,0.684347051,M,T,,,
86,hashchain-1.0.0,2,0.000035,0,0.697269965,M,T,,,
87,pysha3-1.0.2,7,0.000098,0.00335,0.800161212,H,T,,,
88,web3-6.2.0,21,0.00008,0.00277,0.571463285,M,T,,,
89,eth-abi-4.0.0,10,0.000066,0.00299,0.622011937,M,T,,,
90,eth-account-0.8.0,11,0.000051,0.00153,0.614968324,M,T,,,
91,eth-hash-0.5.1,11,0.000197,0.0049,0.627676632,M,T,,,
92,eth-typing-3.3.0,9,0.000186,0.00503,0.631392849,M,T,,,
93,eth-utils-2.1.0,18,0.000222,0.00777,0.612692148,M,T,,,
94,hexbytes-0.3.0,18,0.000126,0.00899,0.778165779,H,T,,,
95,jsonschema-4.17.3,118,0.0008,0.05165,0.566904786,M,T,,,
96,lru-dict-1.1.8,18,0.000101,0.00907,0.641359104,M,T,,,
97,protobuf-4.22.3,254,0.00359,0.13133,0.796701697,H,T,,,
98,websockets-11.0.1,35,0.000385,0.01755,0.616334727,M,T,,,
99,eth-tester-0.8.0b3,9,0.000039,0.00059,0.671641247,M,T,,,
100,py-geth-3.12.0,2,0.000039,0.00059,0.761375308,H,T,,,
101,websockets-11.0.2,11,0.00015,0.00589,0.616334727,M,T,,,
102,parsimonious-0.9.0,2,0.000049,0.0006,0.617804206,M,T,,,
103,hypothesis-4.57.1,4,0.000059,0.00105,0.478982695,L,T,,,
104,cytoolz-0.12.1,14,0.000262,0.00722,0.895231857,H,T,,,
105,toolz-0.12.0,34,0.000582,0.0175,0.652151859,M,T,,,
106,regex-2023.3.23,54,0.000799,0.02727,0.382117397,L,T,,,
107,bitarray-2.7.3,9,0.000109,0.0043,0.7221639,M,T,,,
108,eth-keyfile-0.6.1,5,0.000044,0.00098,0.653791914,M,T,,,
109,eth-keys-0.4.0,9,0.00008,0.00339,0.63623757,M,T,,,
110,eth-rlp-0.3.0,5,0.000044,0.00098,0.657637583,M,T,,,
111,rlp-3.0.0,8,0.000073,0.00341,0.756683995,H,T,,,
112,pycryptodome-3.17,47,0.000704,0.02287,0.634173958,M,T,,,
113,safe-pysha3-1.0.3,1,0.000119,0.00067,0.936123254,H,T,,,
114,pyrsistent-0.19.3,10,0.000186,0.00765,0.717490926,M,T,,,
115,fqdn-1.5.1,2,0.000093,0.00331,0.790177857,H,T,,,
116,isoduration-20.11.0,2,0.000087,0.00286,0.699976565,M,T,,,
117,jsonpointer-2.3,4,0.000219,0.00464,0.778733765,H,T,,,
118,rfc3339-validator-0.1.4,5,0.000103,0.00432,0.684146445,M,T,,,
119,rfc3986-validator-0.1.1,2,0.000095,0.00336,0.684146445,M,T,,,
120,uri-template-1.2.0,1,0.000087,0.00286,0.758353403,H,T,,,
121,webcolors-1.13,5,0.000143,0.00487,0.729905337,M,T,,,
122,rfc3987-1.3.8,4,0.000115,0.00442,0.941758054,H,T,,,
123,h2o-wave-ml-0.8.1,3,0.000035,0,0.812657205,H,T,,,
124,driverlessai-1.10.4.3,5,0.000045,0.00046,0.671641247,M,T,,,
125,h2o-3.40.0.3,5,0.000055,0.00091,0.671641247,M,T,,,
126,tabulate-0.9.0,116,0.000864,0.05436,0.646809249,M,T,,,
127,toml-0.10.2,86,0.000646,0.04071,0.660148803,M,T,,,
128,tornado-6.2,53,0.000596,0.028,0.551278058,M,T,,,
129,future-0.18.3,154,0.001809,0.07324,0.671641247,M,T,,,
130,grimoirelab-toolkit-0.3.3,4,0.000036,0.00094,0.649093933,M,T,,,
131,able-0.3.4,1,0.000035,0,0.664980646,M,T,,,
132,dbus-next-0.2.3,3,0.000078,0.00137,0.618569859,M,T,,,
133,hekatomb-1.5,4,0.000035,0,0.94885031,H,T,,,
134,dnspython-2.3.0,27,0.001,0.01394,0.712805703,M,T,,,
135,impacket-0.10.0,10,0.000042,0.00046,0.833352061,H,T,,,
136,ldap3-2.9.1,8,0.000108,0.00329,0.713590445,M,T,,,
137,pycryptodomex-3.17,25,0.000327,0.01216,0.651675483,M,T,,,
138,chardet-5.1.0,43,0.000458,0.0204,0.740379799,M,T,,,
139,flask-2.2.3,161,0.001773,0.07513,0.763313977,H,T,,,
140,ldapdomaindump-0.9.4,5,0.000042,0.00096,0.785622027,H,T,,,
141,pyasn1-0.4.8,37,0.001454,0.02102,0.774367131,H,T,,,
142,pyopenssl-23.1.1,51,0.000872,0.02963,0.687555257,M,T,,,
143,click-8.1.3,587,0.007014,0.28405,0.786075881,H,D,,,
144,itsdangerous-2.1.2,27,0.000553,0.01738,0.877979849,H,T,,,
145,jinja2-3.1.2,268,0.002919,0.13594,0.785435104,H,T,,,
146,werkzeug-2.2.3,49,0.000752,0.02713,0.551480512,M,T,,,
147,jinja2-3.0.3,16,0.000394,0.01042,0.785435104,H,T,,,
148,markupsafe-2.1.2,39,0.002057,0.02799,0.855779958,H,T,,,
149,markupsafe-2.0.1,15,0.001052,0.01474,0.855779958,H,T,,,
150,markupsafe-2.1.1,9,0.000814,0.01089,0.855779958,H,T,,,
151,babel-2.12.1,35,0.000848,0.02388,0.815605004,H,T,,,
152,cryptography-40.0.2,140,0.003152,0.07871,0.847395434,H,T,,,
153,cryptography-40.0.1,24,0.001326,0.02165,0.847395434,H,T,,,
154,cryptography-39.0.2,4,0.000292,0.00262,0.847395434,H,T,,,
155,cffi-1.15.1,74,0.00673,0.04071,0.671641247,M,D,,,
156,pycparser-2.21,9,0.002986,0.00599,0.722789175,M,T,,,
157,pycparser-2.14,2,0.002916,0.00271,0.722789175,M,T,,,
158,hm3u8dl-cli-0.4.9,8,0.000035,0,0.968274836,H,T,,,
159,m3u8-3.4.0,3,0.000046,0.00091,0.581566931,M,T,,,
160,multiprocess-0.70.14,15,0.000102,0.00711,0.920651519,H,T,,,
161,retry-0.9.2,14,0.00011,0.00573,0.811239802,H,T,,,
162,rich-13.3.4,86,0.000749,0.04033,0.65949082,M,T,,,
163,iso8601-1.1.0,41,0.000375,0.02114,0.831770405,H,T,,,
164,dill-0.3.6,52,0.000415,0.02554,0.875266364,H,T,,,
165,decorator-5.1.1,62,0.000888,0.03326,0.7537292,H,T,,,
166,py-1.11.0,22,0.000318,0.01118,0.847723825,H,T,,,
167,markdown-it-py-2.2.0,16,0.000555,0.00806,0.636462198,M,T,,,
168,pygments-2.15.1,18,0.000437,0.01362,0.627188997,M,T,,,
169,mdurl-0.1.2,2,0.000193,0.00125,0.828002022,H,T,,,
170,linkify-it-py-2.0.0,3,0.000193,0.00127,0.694979533,M,T,,,
171,mdit-py-plugins-0.3.5,4,0.0002,0.00175,0.659930941,M,T,,,
172,hackme-1.0.0,3,0.000035,0,0.695184087,M,T,,,
173,pylintfileheader-0.3.2,1,0.000045,0.00046,0.694963034,M,T,,,
174,scapy-2.5.0,6,0.000071,0.00277,0.646791599,M,T,,,
175,wikipedia-1.4.0,4,0.000046,0.00091,0.68507862,M,T,,,
176,beautifulsoup4-4.12.2,243,0.002249,0.11444,0.671641247,M,T,,,
177,soupsieve-2.4,10,0.001315,0.01075,0.703829253,M,T,,,
178,soupsieve-2.4.1,9,0.001304,0.0104,0.703829253,M,T,,,
179,hslog-1.17.3,3,0.000042,0.00046,0.822316092,H,T,,,
180,aniso8601-9.0.1,8,0.00017,0.00437,0.671641247,M,T,,,
181,hearthstone-6.5.1,3,0.00006,0.00094,0.782622713,H,T,,,
182,holdmykeys-0.1.0,1,0.000035,0,0.831887323,H,T,,,
183,hypers-nacos-0.1.67,2,0.000035,0,0.786595374,H,T,,,
184,pyyaml-6.0,630,0.006842,0.3076,0.582502359,M,D,,,
185,twine-4.0.2,26,0.000113,0.00702,0.627062931,M,T,,,
186,importlib-metadata-6.5.0,15,0.00014,0.00881,0.738331031,M,T,,,
187,keyring-23.13.1,30,0.00022,0.01125,0.843216525,H,T,,,
188,pkginfo-1.9.6,6,0.000057,0.00317,0.812281158,H,T,,,
189,readme-renderer-37.3,8,0.000052,0.00175,0.612990947,M,T,,,
190,requests-toolbelt-0.10.1,41,0.001247,0.0231,0.649785712,M,T,,,
191,rfc3986-2.0.0,7,0.000067,0.00411,0.941758054,H,T,,,
192,importlib-metadata-6.4.1,26,0.000374,0.01363,0.738331031,M,T,,,
193,importlib-metadata-6.3.0,21,0.000202,0.01155,0.738331031,M,T,,,
194,zipp-3.15.0,15,0.000858,0.00885,0.685200734,M,T,,,
195,jaraco-classes-3.2.3,5,0.000109,0.00242,0.64858105,M,T,,,
196,jeepney-0.8.0,6,0.000146,0.0035,0.671641247,M,T,,,
197,secretstorage-3.3.3,8,0.000125,0.00292,0.724188097,M,T,,,
198,importlib-metadata-6.0.0,3,0.000063,0.00144,0.738331031,M,T,,,
199,more-itertools-9.1.0,37,0.000486,0.01789,0.575406957,M,T,,,
200,bleach-6.0.0,13,0.000084,0.00586,0.700609564,M,T,,,
201,docutils-0.19,46,0.000502,0.0234,0.671641247,M,T,,,
202,docutils-0.18.1,7,0.000121,0.00444,0.671641247,M,T,,,
203,webencodings-0.5.1,14,0.000535,0.00819,0.720940291,M,T,,,
204,requests-2.27.1,29,0.00075,0.01023,0.515598341,M,T,,,
205,how-short-0.1.1,1,0.000035,0,0.831838378,H,T,,,
206,pendulum-2.1.2,28,0.0002,0.01229,0.696941211,M,T,,,
207,pytzdata-2020.1,3,0.000142,0.00198,0.682888687,M,T,,,
208,gunicorn-flask-swagger-example-0.0.2,6,0.000035,0,0.847669327,H,T,,,
209,colorlog-6.6.0,3,0.000047,0.00137,0.745257102,M,T,,,
210,connexion-2.14.1,10,0.00004,0.00046,0.531633269,M,T,,,
211,flask-cors-3.0.10,21,0.000114,0.00788,0.745635561,M,T,,,
212,flask-2.2.2,12,0.000099,0.00367,0.763313977,H,T,,,
213,gunicorn-20.1.0,26,0.000183,0.01172,0.643029065,M,T,,,
214,swagger-ui-bundle-0.0.9,3,0.000047,0.001,0.746862814,M,T,,,
215,clickclick-20.10.2,7,0.000078,0.00244,0.671641247,M,T,,,
216,inflection-0.5.1,18,0.000201,0.00864,0.770302658,H,T,,,
217,werkzeug-2.2.2,3,0.000053,0.00108,0.551480512,M,T,,,
218,flask-1.1.4,37,0.000367,0.01577,0.763313977,H,T,,,
219,setuptools-67.6.1,435,0.008323,0.22734,0.400968822,L,D,,,
220,heka-py-0.30.3,5,0.000094,0.00137,0.787523068,H,T,,,
221,docopt-0.6.2,110,0.00139,0.05128,0.754159481,H,T,,,
222,html-jumping-0.2.4,1,0.000035,0,0.83232772,H,T,,,
223,hy-0.26.0,17,0.000422,0.0074,0.805366036,H,T,,,
224,funcparserlib-1.0.1,4,0.000458,0.00229,0.785623436,H,T,,,
225,html2json-0.2.4.1,2,0.000035,0,0.821460771,H,T,,,
226,pyquery-2.0.0,12,0.000177,0.00475,0.860643402,H,T,,,
227,cssselect-1.2.0,23,0.000317,0.01125,0.875578066,H,T,,,
228,lxml-4.9.2,291,0.003007,0.13769,0.266529022,L,T,,,
229,graphslib-0.0.5,1,0.000035,0,0.831802538,H,T,,,
230,typing-3.7.4.3,27,0.000367,0.0125,0.6436541,M,T,,,
231,guilded-webhook-0.3.0,2,0.000035,0,0.695181038,M,T,,,
232,gnucash-ch-filing-0.2.1,2,0.000035,0,0.847740745,H,T,,,
233,grg-mp2grg-0.1.2,2,0.000035,0,0.832134197,H,T,,,
234,grg-grgdata-0.2.4,4,0.000065,0.00091,0.832732119,H,T,,,
235,grg-mpdata-0.1.1,1,0.00005,0.00046,0.832123664,H,T,,,
236,helloworld-ashcoder-0.0.1,1,0.000035,0,0.726215776,M,T,,,
237,blessings-1.7,20,0.000504,0.00882,0.631397153,M,T,,,
238,html-sanitizer-with-iframe-0.1.0,1,0.000035,0,0.83178727,H,T,,,
239,html5lib-1.1,44,0.000455,0.01969,0.728121567,M,T,,,
240,green-magic-0.5.6,5,0.000035,0,0.694965524,M,T,,,
241,nltk-3.8.1,37,0.000379,0.01526,0.768963608,H,T,,,
242,sklearn-0.0.post4,52,0.000299,0.02397,0.671641247,M,T,,,
243,somoclu-1.7.6,4,0.000041,0.00046,0.671641247,M,T,,,
244,joblib-1.2.0,83,0.000723,0.04613,0.55422828,M,T,,,
245,glassknife-0.1.0,3,0.000035,0,0.695210781,M,T,,,
246,pydantic-1.10.7,155,0.001503,0.0704,0.613224668,M,T,,,
247,pyyaml-5.4.1,47,0.000503,0.02193,0.582502359,M,T,,,
248,xdg-5.1.1,3,0.000054,0.00137,0.724557075,M,T,,,
249,typing-extensions-4.5.0,267,0.004811,0.14449,0.658811077,M,T,,,
250,email-validator-2.0.0.post1,7,0.000265,0.00612,0.671641247,M,T,,,
251,email-validator-2.0.0,4,0.000253,0.00437,0.630894507,M,T,,,
252,python-dotenv-1.0.0,31,0.000391,0.01831,0.580229603,M,T,,,
253,email-validator-1.3.1,8,0.00025,0.00632,0.630894507,M,T,,,
254,python-dotenv-0.21.1,8,0.00025,0.0076,0.580229603,M,T,,,
255,typing-extensions-4.4.0,3,0.00022,0.0047,0.658811077,M,T,,,
256,hexlet-code-dddarknight-0.1.0,1,0.000035,0,0.831846261,H,T,,,
257,prompt-0.4.1,1,0.000065,0.00046,0.694779975,M,T,,,
258,guangbeat-1.0,10,0.000035,0,0.615273921,M,T,,,
259,dowhy-0.7.1,9,0.000038,0.00046,0.587850513,M,T,,,
260,lightgbm-3.3.5,15,0.000059,0.00375,0.507142998,M,T,,,
261,scikit-learn-1.1.3,15,0.000074,0.00443,0.356249168,L,T,,,
262,shap-0.40.0,20,0.000041,0.00137,0.616125903,M,T,,,
263,sparse-0.14.0,6,0.000043,0.00144,0.667185797,M,T,,,
264,statsmodels-0.13.5,68,0.000315,0.02691,0.518383165,M,T,,,
265,networkx-3.1,167,0.001291,0.08053,0.754782163,H,T,,,
266,pydot-1.4.2,21,0.000181,0.0093,0.892554698,H,T,,,
267,sympy-1.11.1,26,0.000363,0.01483,0.49260513,L,T,,,
268,threadpoolctl-3.1.0,11,0.000223,0.01145,0.710270602,M,T,,,
269,patsy-0.5.3,12,0.000085,0.00466,0.767246895,H,T,,,
270,pandas-1.5.3,91,0.000602,0.04471,0.820746042,H,T,,,
271,pandas-1.3.5,23,0.000155,0.00941,0.820746042,H,T,,,
272,scipy-1.7.3,14,0.000113,0.00652,0.337577653,L,T,,,
273,mpmath-1.3.0,16,0.00047,0.00808,0.695357159,M,T,,,
274,wheel-0.40.0,58,0.000893,0.02821,0.643444469,M,T,,,
275,scikit-learn-1.2.2,278,0.001508,0.12517,0.356249168,L,T,,,
276,numba-0.56.4,48,0.000386,0.02032,0.671641247,M,T,,,
277,slicer-0.0.7,2,0.000037,0.00098,0.747265624,M,T,,,
278,cloudpickle-2.0.0,2,0.000037,0.00098,0.729166061,M,T,,,
279,numba-0.55.1,5,0.000037,0.00098,0.671641247,M,T,,,
280,pandas-1.4.2,9,0.000049,0.00209,0.820746042,H,T,,,
281,scikit-learn-1.0.2,11,0.000073,0.00192,0.356249168,L,T,,,
282,scipy-1.8.0,15,0.000215,0.01198,0.337577653,L,T,,,
283,tqdm-4.64.0,8,0.00006,0.00377,0.619815336,M,T,,,
284,llvmlite-0.39.1,3,0.000115,0.00241,0.551658628,M,T,,,
285,iam-profile-faker-0.3.1,3,0.000035,0,0.805002598,H,T,,,
286,faker-18.4.0,6,0.000084,0.00231,0.462968642,L,T,,,
287,tinydb-4.7.1,11,0.000132,0.0051,0.644621368,M,T,,,
288,hyde-generator-0.0.4,3,0.000035,0,0.710340899,M,T,,,
289,markdown-3.4.3,52,0.0006,0.02466,0.859538872,H,T,,,
290,hcloud-selfdestruct-0.1.0,2,0.000035,0,0.69522504,M,T,,,
291,apprise-1.3.0,8,0.000051,0.00096,0.731503666,M,T,,,
292,hcloud-1.19.0,4,0.00006,0.00091,0.75993556,H,T,,,
293,requests-oauthlib-1.3.1,49,0.000627,0.02275,0.575774868,M,T,,,
294,oauthlib-3.2.2,23,0.000299,0.01102,0.814313573,H,T,,,
295,requests-2.25.1,39,0.000537,0.01516,0.515598341,M,T,,,
296,oauthlib-3.1.1,2,0.000175,0.00196,0.814313573,H,T,,,
297,gradinit-0.1.1,1,0.000035,0,0.831829032,H,T,,,
298,torch-2.0.0,153,0.001438,0.06272,0.304238481,L,T,,,
299,filelock-3.11.0,38,0.000473,0.02306,0.60816995,M,T,,,
300,nvidia-cublas-cu11-11.10.3.66,6,0.000302,0.00538,0.671641247,M,T,,,
301,nvidia-cuda-cupti-cu11-11.7.101,3,0.000096,0.00343,0.671641247,M,T,,,
302,nvidia-cuda-nvrtc-cu11-11.7.99,2,0.000119,0.00425,0.671641247,M,T,,,
303,nvidia-cuda-runtime-cu11-11.7.99,4,0.000119,0.00425,0.671641247,M,T,,,
304,nvidia-cudnn-cu11-8.5.0.96,3,0.000119,0.00425,0.671641247,M,T,,,
305,nvidia-cufft-cu11-10.9.0.58,1,0.000096,0.00343,0.671641247,M,T,,,
306,nvidia-curand-cu11-10.2.10.91,3,0.000096,0.00343,0.671641247,M,T,,,
307,nvidia-cusolver-cu11-11.4.0.1,2,0.000096,0.00343,0.671641247,M,T,,,
308,nvidia-cusparse-cu11-11.7.4.91,3,0.000096,0.00343,0.671641247,M,T,,,
309,nvidia-nccl-cu11-2.14.3,1,0.000096,0.00343,0.671641247,M,T,,,
310,nvidia-nvtx-cu11-11.7.91,3,0.000096,0.00343,0.671641247,M,T,,,
311,triton-2.0.0,6,0.000096,0.00343,0.758421019,H,T,,,
312,filelock-3.12.0,10,0.000184,0.00889,0.60816995,M,T,,,
313,networkx-2.8,4,0.000114,0.00483,0.754782163,H,T,,,
314,networkx-2.6.3,5,0.00013,0.00544,0.754782163,H,T,,,
315,cmake-3.26.3,1,0.000051,0.00055,0.716892593,M,T,,,
316,lit-16.0.1,1,0.000051,0.00055,0.553132475,M,T,,,
317,hmtvltk2-django-thumbor-1.0.2,2,0.000035,0,0.79471302,H,T,,,
318,django-4.2,98,0.002142,0.04662,0.544936339,M,T,,,
319,libthumbor-2.0.2,2,0.00005,0.00046,0.688339423,M,T,,,
320,asgiref-3.6.0,18,0.000991,0.01116,0.718521638,M,T,,,
321,sqlparse-0.4.3,18,0.000995,0.01112,0.638047486,M,T,,,
322,sqlparse-0.4.4,4,0.000664,0.00404,0.638047486,M,T,,,
323,hrflow-connectors-1.0.2,4,0.000035,0,0.631985618,M,T,,,
324,hrflow-1.9.0,5,0.000052,0.00091,0.671641247,M,T,,,
325,pydantic-1.7.4,2,0.000044,0.00091,0.613224668,M,T,,,
326,requests-2.26.0,28,0.000316,0.01018,0.515598341,M,T,,,
327,selenium-3.141.0,11,0.000134,0.0037,0.528159757,M,T,,,
328,python-magic-0.4.27,11,0.000111,0.00514,0.59347194,M,T,,,
329,charset-normalizer-2.0.12,7,0.000166,0.00434,0.753981657,H,T,,,
330,certifi-2020.4.5.2,2,0.000074,0.00139,0.607135444,M,T,,,
331,urllib3-1.26.5,4,0.000139,0.00276,0.564677815,M,T,,,
332,urllib3-1.25.9,3,0.000089,0.00175,0.564677815,M,T,,,
333,graw-0.0.0,1,0.000035,0,0.695230975,M,T,,,
334,groupdocs-viewer-cloud-23.3,4,0.000035,0,0.683919038,M,T,,,
335,hotair-0.1.0,4,0.000035,0,0.695221785,M,T,,,
336,aiofiles-0.6.0,2,0.00005,0.00091,0.751449006,H,T,,,
337,starlette-0.14.2,4,0.000072,0.00185,0.671641247,M,T,,,
338,uvicorn-0.13.4,10,0.00005,0.00091,0.608885295,M,T,,,
339,click-7.1.2,75,0.001058,0.03647,0.786075881,H,T,,,
340,h11-0.14.0,18,0.00037,0.00952,0.969386084,H,T,,,
341,httptools-0.1.2,1,0.00004,0.0005,0.765845585,H,T,,,
342,uvloop-0.17.0,16,0.000115,0.00827,0.64213083,M,T,,,
343,watchgod-0.8.2,5,0.000053,0.00196,0.674798123,M,T,,,
344,websockets-8.1,9,0.000092,0.00425,0.616334727,M,T,,,
345,anyio-3.6.2,32,0.00087,0.01512,0.741335072,M,T,,,
346,sniffio-1.3.0,29,0.000956,0.01699,0.700285548,M,T,,,
347,hideandseek-0.1.5,5,0.000035,0,0.847049654,H,T,,,
348,hydra-core-1.3.2,18,0.000249,0.00686,0.703524982,M,T,,,
349,tools-jsyoo61-2022.6.27.0,4,0.000041,0.00046,0.75578454,H,T,,,
350,antlr4-python3-runtime-4.9.3,4,0.00019,0.00226,0.671641247,M,T,,,
351,omegaconf-2.3.0,5,0.000118,0.0017,0.615846912,M,T,,,
352,gym-recorder-0.0.3,6,0.000035,0,0.847647742,H,T,,,
353,json-tricks-3.16.1,5,0.000065,0.00233,0.786223059,H,T,,,
354,jsonlines-3.1.0,7,0.000056,0.00238,0.651731411,M,T,,,
355,lz4-4.3.2,7,0.000072,0.00418,0.830826478,H,T,,,
356,ray-2.3.1,44,0.000059,0.00274,0.496479929,L,T,,,
357,dm-tree-0.1.8,11,0.000088,0.00557,0.768635328,H,T,,,
358,grpcio-1.53.0,81,0.001337,0.04742,0.671641247,M,T,,,
359,gymnasium-0.26.3,4,0.000036,0.00059,0.515667102,M,T,,,
360,msgpack-1.0.5,47,0.000432,0.02349,0.713972512,M,T,,,
